"","address","housetype","totalprice","averageprice","floorspace","floor","age","parkingspace"
"126","
                                中山區新生北路三段82巷1-30號
                                    
                                    格局：1房(室)1廳1衛","
套房                            ","
                                580萬","
                                45.8萬
                            ","
12.67坪
                            ","
5~5/6                            ","
23.8年
                            ","
無                            "
"127","
                                士林區重慶北路四段49巷15弄31-60號
                                    
                                    格局：2房(室)2廳1衛
                                        (加蓋格局：2房(室)2廳1衛)
                            ","
公寓                            ","
                                880萬","
                                39.7萬
                            ","
22.16坪
                            ","
5~5/5                            ","
37.9年
                            ","
無                            "
"128","
                                文山區萬盛街60巷1-30號
                                    
                                    格局：3房(室)2廳1衛","
公寓                            ","
                                2,020萬","
                                66.0萬
                            ","
30.59坪
                            ","
1~1/3                            ","
45.9年
                            ","
無                            "
"129","
                                信義區吳興街600巷76弄151-180號
                                    
                                    格局：3房(室)2廳2衛
                                        (加蓋格局：0房(室)1廳0衛)
                            ","
公寓                            ","
                                1,110萬","
                                33.4萬
                            ","
33.28坪
                            ","
5~5/5                            ","
31.4年
                            ","
無                            "
"130","
                                信義區吳興街284巷19弄1-30號
                                    
                                    格局：2房(室)2廳1衛","
公寓                            ","
                                1,230萬","
                                49.2萬
                            ","
25.02坪
                            ","
3~3/5                            ","
29.7年
                            ","
無                            "
"131","
                                信義區吳興街600巷76弄121-150號
                                    
                                    格局：2房(室)2廳2衛
                                        (加蓋格局：1房(室)1廳0衛)
                            ","
公寓                            ","
                                1,350萬","
                                35.7萬
                            ","
37.79坪
                            ","
5~5/5                            ","
29.1年
                            ","
無                            "
"132","
                                文山區萬寧街151-180號
                                    
                                    格局：3房(室)2廳1.5衛","
大樓                            ","
                                980萬","
                                21.4萬
                            ","
45.83坪
                            ","
10~10/16                            ","
18.6年
                            ","
無                            "
"133","
                                士林區福國路91-120號
                                    
                                    格局：1房(室)1廳1衛","
套房                            ","
                                700萬","
                                63.1萬
                            ","
11.09坪
                            ","
5~5/8                            ","
38.9年
                            ","
無                            "
"134","
                                大同區承德路三段208巷1-30號
                                    
                                    格局：0房(室)1廳1衛","
套房                            ","
                                588萬","
                                73.2萬
                            ","
8.03坪
                            ","
4~4/11                            ","
9.0年
                            ","
無                            "
"135","
                                內湖區麗山街348巷10弄1-30號
                                    
                                    格局：3房(室)2廳1衛
                                        (加蓋格局：2房(室)0廳0衛)
                            ","
公寓                            ","
                                2,120萬","
                                59.1萬
                            ","
35.85坪
                            ","
1~1/5                            ","
34.3年
                            ","
無                            "
"136","
                                信義區信義路五段121-150號
                                    
                                    格局：1房(室)1廳1衛","
套房                            ","
                                1,160萬","
                                82.7萬
                            ","
14.02坪
                            ","
14~14/19                            ","
9.4年
                            ","
無                            "
"137","
                                信義區和平東路三段391巷20弄1-30號
                                    
                                    格局：2房(室)1廳2衛","
公寓                            ","
                                1,280萬","
                                50.7萬
                            ","
25.23坪
                            ","
4~4/5                            ","
38.7年
                            ","
無                            "
"138","
                                文山區興隆路二段61巷1-30號
                                    
                                    格局：4房(室)2廳2衛","
大樓                            ","
                                4,526萬
                                                (含車位500萬)
                            ","
                                67.0萬
                            ","
82.12坪
                                        
                                                    (含車位22.03坪)
                            ","
11~11/13                            ","
2.8年
                            ","
有                            "
"139","
                                文山區興隆路二段78巷1-30號
                                    
                                    格局：3房(室)2廳1衛","
公寓                            ","
                                1,024萬","
                                48.7萬
                            ","
21.01坪
                            ","
2~2/4                            ","
47.0年
                            ","
無                            "
"140","
                                文山區興隆路二段220巷31弄1-30號
                                    
                                    格局：4房(室)2廳2衛","
                                    華廈
                            ","
                                2,588萬","
                                43.1萬
                            ","
60.09坪
                            ","
2~2/8                            ","
26.0年
                            ","
無                            "
"141","
                                松山區民生東路五段151-180號
                                    
                                    格局：2房(室)2廳1衛","
大樓                            ","
                                1,568萬","
                                67.0萬
                            ","
23.40坪
                            ","
4~4/15                            ","
33.3年
                            ","
無                            "
"142","
                                內湖區成功路五段420巷1-30號
                                    
                                    格局：1房(室)2廳1衛","
大樓                            ","
                                2,200萬","
                                62.0萬
                            ","
35.50坪
                            ","
4~4/11                            ","
19.1年
                            ","
無                            "
"143","
                                內湖區成功路五段450巷1-30號
                                    
                                    格局：2房(室)2廳1衛","
大樓                            ","
                                1,988萬
                                                (含車位250萬)
                            ","
                                68.0萬
                            ","
36.46坪
                                        
                                                    (含車位10.90坪)
                            ","
5~5/12                            ","
19.0年
                            ","
有                            "
"144","
                                內湖區成功路五段451-480號
                                    
                                    格局：4房(室)2廳2衛","
大樓                            ","
                                3,850萬","
                                60.0萬
                            ","
64.16坪
                            ","
2~2/13                            ","
15.3年
                            ","
無                            "
"145","
                                北投區行義路5巷1-30號
                                    
                                    格局：3房(室)2廳2衛","
                                    華廈
                            ","
                                2,400萬","
                                47.6萬
                            ","
50.47坪
                            ","
4~4/7                            ","
35.5年
                            ","
無                            "
"146","
                                信義區松勤街1-30號
                                    
                                    格局：2房(室)1廳1衛","
大樓                            ","
                                4,200萬","
                                139.7萬
                            ","
30.06坪
                            ","
16~16/19                            ","
8.4年
                            ","
無                            "
"147","
                                萬華區開封街二段61-90號
                                    
                                    格局：1房(室)0廳1衛","
套房                            ","
                                535萬","
                                50.2萬
                            ","
10.66坪
                            ","
7~7/16                            ","
20.5年
                            ","
無                            "
"148","
                                松山區南京東路五段391-420號
                                    
                                    格局：0房(室)2廳1衛","
大樓                            ","
                                1,500萬
                                                (含車位)
                            ","
                                68.5萬
                            ","
21.91坪
                                        
                                                    (含車位坪數)
                            ","
7~7/11                            ","
10.4年
                            ","
有                            "
"149","
                                大同區重慶北路二段61-90號
                                    
                                    格局：0房(室)0廳0衛","
大樓                            ","
                                1,450萬","
                                55.5萬
                            ","
26.14坪
                            ","
4~4/0                            ","
25.9年
                            ","
無                            "
"150","
                                內湖區新豐街151-180號
                                    
                                    格局：4房(室)2廳2衛","
                                    華廈
                            ","
                                4,288萬
                                                (含車位250萬)
                            ","
                                60.1萬
                            ","
81.27坪
                                        
                                                    (含車位14.11坪)
                            ","
2~2/9                            ","
5.6年
                            ","
有                            "
"151","
                                松山區南京東路四段181-210號
                                    
                                    格局：3房(室)2廳2衛","
大樓                            ","
                                2,088萬","
                                66.8萬
                            ","
31.26坪
                            ","
14~14/14                            ","
32.3年
                            ","
無                            "
"152","
                                內湖區金龍路211-240號
                                    
                                    格局：2房(室)2廳1.5衛","
大樓                            ","
                                1,430萬
                                                (含車位150萬)
                            ","
                                52.8萬
                            ","
29.73坪
                                        
                                                    (含車位5.47坪)
                            ","
3~3/12                            ","
23.8年
                            ","
有                            "
"153","
                                南港區中南街121-150號
                                    
                                    格局：2房(室)2廳1衛
                                        (加蓋格局：1房(室)0廳1衛)
                            ","
                                    華廈
                            ","
                                1,230萬","
                                52.7萬
                            ","
23.35坪
                            ","
5~5/9                            ","
18.4年
                            ","
無                            "
"154","
                                內湖區康樂街186巷2弄1-30號
                                    
                                    格局：2房(室)2廳1衛","
公寓                            ","
                                990萬","
                                47.7萬
                            ","
20.75坪
                            ","
1~1/5                            ","
31.9年
                            ","
無                            "
"155","
                                內湖區康樂街186巷1-30號
                                    
                                    格局：0房(室)2廳1衛
                                        (加蓋格局：2房(室)0廳0衛)
                            ","
                                    華廈
                            ","
                                570萬","
                                38.4萬
                            ","
14.83坪
                            ","
5~5/7                            ","
20.0年
                            ","
無                            "
"156","
                                松山區民生東路五段36巷8弄1-30號
                                    
                                    格局：3房(室)2廳2衛","
                                    華廈
                            ","
                                2,160萬","
                                64.3萬
                            ","
33.60坪
                            ","
3~3/7                            ","
35.2年
                            ","
無                            "
"157","
                                松山區民生東路五段181-210號
                                    
                                    格局：1房(室)1廳1衛","
套房                            ","
                                1,200萬","
                                67.2萬
                            ","
17.85坪
                            ","
15~15/20                            ","
26.9年
                            ","
無                            "
