"","address","housetype","totalprice","averageprice","floorspace","floor","age","parkingspace"
"239","
                                南港區研究院路一段31-60號
                                    
                                    格局：3房(室)2廳2衛","
                                    華廈
                            ","
                                3,000萬
                                                (含車位180萬)
                            ","
                                63.3萬
                            ","
57.01坪
                                        
                                                    (含車位12.48坪)
                            ","
2~2/7                            ","
6.2年
                            ","
有                            "
"240","
                                南港區研究院路一段101巷16弄
                                    
                                    格局：3房(室)2廳2衛","
                                    華廈
                            ","
                                2,550萬
                                                (含車位300萬)
                            ","
                                56.2萬
                            ","
45.84坪
                                        
                                                    (含車位5.83坪)
                            ","
8~8/10                            ","
3.8年
                            ","
有                            "
"241","
                                士林區中山北路六段195巷1-30號
                                    
                                    格局：4房(室)2廳3衛","
大樓                            ","
                                6,950萬
                                                (含車位600萬)
                            ","
                                91.9萬
                            ","
91.12坪
                                        
                                                    (含車位22.05坪)
                            ","
11~11/14                            ","
8.0年
                            ","
有                            "
"242","
                                士林區中山北路六段419巷1-30號
                                    
                                    格局：3房(室)2廳1衛","
公寓                            ","
                                1,850萬","
                                53.1萬
                            ","
34.84坪
                            ","
2~2/5                            ","
36.5年
                            ","
無                            "
"243","
                                松山區八德路三段181-210號
                                    
                                    格局：0房(室)1廳1衛
                                        (加蓋格局：1房(室)1廳1衛)
                            ","
套房                            ","
                                1,050萬","
                                101.3萬
                            ","
10.37坪
                            ","
5~5/11                            ","
10.0年
                            ","
無                            "
"244","
                                松山區八德路三段155巷4弄1-30號
                                    
                                    格局：3房(室)2廳1衛
                                        (加蓋格局：1房(室)0廳1衛)
                            ","
公寓                            ","
                                2,200萬","
                                70.0萬
                            ","
31.44坪
                            ","
1~1/4                            ","
44.1年
                            ","
無                            "
"245","
                                大安區和平東路一段50巷1弄1-30號
                                    
                                    格局：1房(室)1廳1衛","
套房                            ","
                                870萬","
                                101.2萬
                            ","
8.60坪
                            ","
5~5/7                            ","
8.1年
                            ","
無                            "
"246","
                                士林區德行東路121-150號
                                    
                                    格局：2房(室)1廳1衛","
公寓                            ","
                                1,040萬","
                                64.5萬
                            ","
16.12坪
                            ","
4~4/5                            ","
37.4年
                            ","
無                            "
"247","
                                中山區農安街31-60號
                                    
                                    格局：3房(室)1廳1衛","
大樓                            ","
                                1,180萬","
                                52.6萬
                            ","
22.43坪
                            ","
5~5/10                            ","
37.2年
                            ","
無                            "
"248","
                                中山區農安街1-30號
                                    
                                    格局：1房(室)1廳1衛
                                        (加蓋格局：1房(室)0廳0衛)
                            ","
套房                            ","
                                960萬","
                                66.8萬
                            ","
14.37坪
                            ","
6~6/13                            ","
8.5年
                            ","
無                            "
"249","
                                大安區延吉街241-270號
                                    
                                    格局：5房(室)2廳2.5衛","
                                    華廈
                            ","
                                3,050萬","
                                63.9萬
                            ","
47.74坪
                            ","
3~3/7                            ","
38.3年
                            ","
無                            "
"250","
                                大同區延平北路二段121-150號
                                    
                                    格局：2房(室)1廳1衛","
大樓                            ","
                                855萬","
                                46.5萬
                            ","
18.38坪
                            ","
4~4/11                            ","
37.2年
                            ","
無                            "
